nome_prodotto,prezzo,link,sesso,categoria,range taglie,taglie,colore,descrizione,brand,fascia_prezzo
ARUM Grey,120.0,https://nae-vegan.com/it-it/products/arum-grey,donna,Scarpe Piatte,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Grey,Arum Grigio Scarpe Derby Vegane con Tacco Grosso,Nae,>=120€
TERESA Black,105.0,https://nae-vegan.com/it-it/products/teresa-black-1,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,,Nae,"100–119,99€"
TERESA White,105.0,https://nae-vegan.com/it-it/products/teresa-white,donna,Scarpe Piatte,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",White,Teresa Bianco Vegan Mary Jane,Nae,"100–119,99€"
HELEN Beige,135.0,https://nae-vegan.com/it-it/products/helen-beige,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Beige,Helen Derby vegano nero a punta liscia,Nae,>=120€
HELEN Black,135.0,https://nae-vegan.com/it-it/products/helen-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Helen Derby vegano nero a punta liscia,Nae,>=120€
HADE Grey,99.0,https://nae-vegan.com/it-it/products/hade-grey,donna,Sneakers,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Grey,Hade Grigio Sneaker Vegan Low-Top,Nae,"80–99,99€"
JOR Black,99.0,https://nae-vegan.com/it-it/products/jor-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '43', '44', '45', '46', '47', '42']",Black,Jor Nero Scarpe da corsa vegane,Nae,"80–99,99€"
JOR Blue,99.0,https://nae-vegan.com/it-it/products/jor-blue,donna,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Blue,Jor Blu Scarpe da corsa vegane,Nae,"80–99,99€"
JOR White,99.0,https://nae-vegan.com/it-it/products/jor-white,donna,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",White,Jor Nero Scarpe da corsa vegane,Nae,"80–99,99€"
BERLIN Green,125.0,https://nae-vegan.com/it-it/products/berlin-green,donna,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Sneaker bassa Berlin Verde in Pelle di Mela e Piñatex,Nae,>=120€
Berlin Green + Kit di pulizia,149.0,https://nae-vegan.com/it-it/products/berlin-verde-kit-di-pulizia,donna,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,,Nae,>=120€
BERLIN Red,125.0,https://nae-vegan.com/it-it/products/berlin-red,donna,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Red,Sneaker Berlin Red Low Top in Pelle di Mela e Piñatex,Nae,>=120€
BERLIN White,125.0,https://nae-vegan.com/it-it/products/berlin-white,donna,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",White,Sneaker Berlin Low Top bianca in pelle di melo e piñatex,Nae,>=120€
LONDON Green,135.0,https://nae-vegan.com/it-it/products/london-green,donna,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Sneaker alta London Green in AppleSkin e Piñatex,Nae,>=120€
LONDON Red,135.0,https://nae-vegan.com/it-it/products/london-red,donna,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Red,Sneaker alta London Red in AppleSkin e Piñatex,Nae,>=120€
DARA Pink,99.0,https://nae-vegan.com/it-it/products/dara-pink,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Pink,Dara Pink Lace-Up Basic Sport Sneakers,Nae,"80–99,99€"
DARA White,99.0,https://nae-vegan.com/it-it/products/dara-white,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",White,Dara White Lace-Up Basic Sport Sneakers,Nae,"80–99,99€"
KOMO Green,99.0,https://nae-vegan.com/it-it/products/komo-green,donna,Sneakers,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,"Komo Verde, top basso vegano in microfibra riciclata",Nae,"80–99,99€"
KOMO White,99.0,https://nae-vegan.com/it-it/products/komo-white,donna,Sneakers,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",White,Komo White Vegan Low top in microfibra riciclata,Nae,"80–99,99€"
Clove Red,99.0,https://nae-vegan.com/it-it/products/clove-red,donna,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Red,Clove Red vegan Sneakers Low Top Lace-Up,Nae,"80–99,99€"
Clove Black,99.0,https://nae-vegan.com/it-it/products/clove-black,donna,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Clove Nero Scarpe da ginnastica basse vegane Lace-Up,Nae,"80–99,99€"
